Stage project_discovery: 164ms; RSS 105 MiB
Batch 54/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 1596ms; RSS 433 MiB
Stage primary_extraction [55/133]: 907ms; RSS 378 MiB
Stage schema_pass [55/133]: 59ms; RSS 383 MiB
Stage framework_pass [55/133]: 59ms; RSS 394 MiB
Stage string_literal_pass [55/133]: 44ms; RSS 400 MiB
Stage param_flow_pass [55/133]: 7ms; RSS 400 MiB
Stage route_pass [55/133]: 115ms; RSS 419 MiB
Batch 55/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 1462ms; RSS 420 MiB
Stage primary_extraction [56/133]: 989ms; RSS 403 MiB
Stage schema_pass [56/133]: 104ms; RSS 417 MiB
Stage framework_pass [56/133]: 95ms; RSS 432 MiB
Stage string_literal_pass [56/133]: 59ms; RSS 441 MiB
Stage param_flow_pass [56/133]: 44ms; RSS 443 MiB
Stage route_pass [56/133]: 164ms; RSS 448 MiB
Batch 56/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 1717ms; RSS 448 MiB
Stage primary_extraction [57/133]: 1304ms; RSS 407 MiB
Stage schema_pass [57/133]: 163ms; RSS 433 MiB
Stage framework_pass [57/133]: 42ms; RSS 442 MiB
Stage string_literal_pass [57/133]: 29ms; RSS 447 MiB
Stage param_flow_pass [57/133]: 7ms; RSS 447 MiB
Stage route_pass [57/133]: 201ms; RSS 450 MiB
Batch 57/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 1970ms; RSS 450 MiB
Stage primary_extraction [58/133]: 3500ms; RSS 488 MiB
Stage schema_pass [58/133]: 84ms; RSS 489 MiB
Stage framework_pass [58/133]: 215ms; RSS 528 MiB
Stage string_literal_pass [58/133]: 278ms; RSS 551 MiB
Stage param_flow_pass [58/133]: 23ms; RSS 552 MiB
Stage route_pass [58/133]: 128ms; RSS 552 MiB
Batch 58/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 4488ms; RSS 553 MiB
Stage primary_extraction [59/133]: 6674ms; RSS 532 MiB
Stage schema_pass [59/133]: 182ms; RSS 537 MiB
Stage framework_pass [59/133]: 707ms; RSS 585 MiB
Stage string_literal_pass [59/133]: 199ms; RSS 585 MiB
Stage param_flow_pass [59/133]: 71ms; RSS 585 MiB
Stage route_pass [59/133]: 579ms; RSS 592 MiB
Batch 59/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 8882ms; RSS 594 MiB
Stage primary_extraction [60/133]: 3771ms; RSS 536 MiB
Stage schema_pass [60/133]: 79ms; RSS 535 MiB
Stage framework_pass [60/133]: 195ms; RSS 552 MiB
Stage string_literal_pass [60/133]: 248ms; RSS 579 MiB
Stage param_flow_pass [60/133]: 73ms; RSS 579 MiB
Stage route_pass [60/133]: 518ms; RSS 605 MiB
Batch 60/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 5278ms; RSS 605 MiB
Stage primary_extraction [61/133]: 711ms; RSS 449 MiB
Stage schema_pass [61/133]: 53ms; RSS 453 MiB
Stage framework_pass [61/133]: 42ms; RSS 459 MiB
Stage string_literal_pass [61/133]: 30ms; RSS 464 MiB
Stage param_flow_pass [61/133]: 7ms; RSS 464 MiB
Stage route_pass [61/133]: 75ms; RSS 477 MiB
Batch 61/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 1042ms; RSS 477 MiB
Stage primary_extraction [62/133]: 166ms; RSS 494 MiB
Stage schema_pass [62/133]: 13ms; RSS 493 MiB
Stage framework_pass [62/133]: 4ms; RSS 493 MiB
Stage string_literal_pass [62/133]: 4ms; RSS 493 MiB
Stage param_flow_pass [62/133]: 2ms; RSS 493 MiB
Stage route_pass [62/133]: 20ms; RSS 494 MiB
Batch 62/133: 21 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/reading-advantage/tsconfig.json in 266ms; RSS 494 MiB
Stage primary_extraction [63/133]: 704ms; RSS 409 MiB
Stage schema_pass [63/133]: 80ms; RSS 412 MiB
Stage framework_pass [63/133]: 50ms; RSS 418 MiB
Stage string_literal_pass [63/133]: 37ms; RSS 423 MiB
Stage param_flow_pass [63/133]: 4ms; RSS 423 MiB
Stage route_pass [63/133]: 104ms; RSS 433 MiB
Batch 63/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/sales-advantage/tsconfig.json in 1086ms; RSS 433 MiB
Stage primary_extraction [64/133]: 694ms; RSS 418 MiB
Stage schema_pass [64/133]: 81ms; RSS 424 MiB
Stage framework_pass [64/133]: 74ms; RSS 434 MiB
Stage string_literal_pass [64/133]: 39ms; RSS 440 MiB
Stage param_flow_pass [64/133]: 12ms; RSS 441 MiB
Stage route_pass [64/133]: 202ms; RSS 457 MiB
Batch 64/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/sales-advantage/tsconfig.json in 1337ms; RSS 457 MiB
Stage primary_extraction [65/133]: 930ms; RSS 413 MiB
Stage schema_pass [65/133]: 96ms; RSS 423 MiB
Stage framework_pass [65/133]: 43ms; RSS 428 MiB
Stage string_literal_pass [65/133]: 31ms; RSS 432 MiB
Stage param_flow_pass [65/133]: 23ms; RSS 433 MiB
Stage route_pass [65/133]: 105ms; RSS 448 MiB
Batch 65/133: 21 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/sales-advantage/tsconfig.json in 1412ms; RSS 448 MiB
Stage primary_extraction [66/133]: 657ms; RSS 418 MiB
Stage schema_pass [66/133]: 34ms; RSS 421 MiB
Stage framework_pass [66/133]: 51ms; RSS 425 MiB
Stage string_literal_pass [66/133]: 27ms; RSS 429 MiB
Stage param_flow_pass [66/133]: 8ms; RSS 429 MiB
Stage route_pass [66/133]: 68ms; RSS 440 MiB
Batch 66/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 936ms; RSS 440 MiB
Stage primary_extraction [67/133]: 1216ms; RSS 452 MiB
Stage schema_pass [67/133]: 107ms; RSS 464 MiB
Stage framework_pass [67/133]: 79ms; RSS 478 MiB
Stage string_literal_pass [67/133]: 57ms; RSS 487 MiB
Stage param_flow_pass [67/133]: 11ms; RSS 488 MiB
Stage route_pass [67/133]: 275ms; RSS 498 MiB
Batch 67/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 2146ms; RSS 498 MiB
Stage primary_extraction [68/133]: 1218ms; RSS 461 MiB
Stage schema_pass [68/133]: 109ms; RSS 471 MiB
Stage framework_pass [68/133]: 80ms; RSS 485 MiB
Stage string_literal_pass [68/133]: 55ms; RSS 494 MiB
Stage param_flow_pass [68/133]: 11ms; RSS 494 MiB
Stage route_pass [68/133]: 219ms; RSS 517 MiB
Batch 68/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 1856ms; RSS 517 MiB
Stage primary_extraction [69/133]: 714ms; RSS 448 MiB
Stage schema_pass [69/133]: 68ms; RSS 456 MiB
Stage framework_pass [69/133]: 57ms; RSS 464 MiB
Stage string_literal_pass [69/133]: 39ms; RSS 471 MiB
Stage param_flow_pass [69/133]: 12ms; RSS 472 MiB
Stage route_pass [69/133]: 189ms; RSS 495 MiB
Batch 69/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 1248ms; RSS 495 MiB
Stage primary_extraction [70/133]: 1217ms; RSS 462 MiB
Stage schema_pass [70/133]: 73ms; RSS 472 MiB
Stage framework_pass [70/133]: 151ms; RSS 500 MiB
Stage string_literal_pass [70/133]: 116ms; RSS 519 MiB
Stage param_flow_pass [70/133]: 15ms; RSS 520 MiB
Stage route_pass [70/133]: 153ms; RSS 519 MiB
Batch 70/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 1925ms; RSS 524 MiB
Stage primary_extraction [71/133]: 1282ms; RSS 457 MiB
Stage schema_pass [71/133]: 105ms; RSS 463 MiB
Stage framework_pass [71/133]: 253ms; RSS 483 MiB
Stage string_literal_pass [71/133]: 93ms; RSS 498 MiB
Stage param_flow_pass [71/133]: 22ms; RSS 499 MiB
Stage route_pass [71/133]: 185ms; RSS 520 MiB
Batch 71/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 2156ms; RSS 520 MiB
Stage primary_extraction [72/133]: 836ms; RSS 452 MiB
Stage schema_pass [72/133]: 103ms; RSS 462 MiB
Stage framework_pass [72/133]: 35ms; RSS 467 MiB
Stage string_literal_pass [72/133]: 30ms; RSS 471 MiB
Stage param_flow_pass [72/133]: 9ms; RSS 471 MiB
Stage route_pass [72/133]: 215ms; RSS 500 MiB
Batch 72/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 1472ms; RSS 500 MiB
Stage primary_extraction [73/133]: 751ms; RSS 438 MiB
Stage schema_pass [73/133]: 55ms; RSS 443 MiB
Stage framework_pass [73/133]: 25ms; RSS 445 MiB
Stage string_literal_pass [73/133]: 21ms; RSS 448 MiB
Stage param_flow_pass [73/133]: 10ms; RSS 448 MiB
Stage route_pass [73/133]: 104ms; RSS 462 MiB
Batch 73/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 1144ms; RSS 463 MiB
Stage primary_extraction [74/133]: 757ms; RSS 442 MiB
Stage schema_pass [74/133]: 83ms; RSS 447 MiB
Stage framework_pass [74/133]: 26ms; RSS 450 MiB
Stage string_literal_pass [74/133]: 25ms; RSS 453 MiB
Stage param_flow_pass [74/133]: 13ms; RSS 453 MiB
Stage route_pass [74/133]: 130ms; RSS 471 MiB
Batch 74/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 1256ms; RSS 471 MiB
Stage primary_extraction [75/133]: 386ms; RSS 434 MiB
Stage schema_pass [75/133]: 52ms; RSS 438 MiB
Stage framework_pass [75/133]: 16ms; RSS 440 MiB
Stage string_literal_pass [75/133]: 12ms; RSS 441 MiB
Stage param_flow_pass [75/133]: 6ms; RSS 441 MiB
Stage route_pass [75/133]: 93ms; RSS 450 MiB
Batch 75/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 690ms; RSS 450 MiB
Stage primary_extraction [76/133]: 734ms; RSS 455 MiB
Stage schema_pass [76/133]: 99ms; RSS 464 MiB
Stage framework_pass [76/133]: 83ms; RSS 479 MiB
Stage string_literal_pass [76/133]: 41ms; RSS 487 MiB
Stage param_flow_pass [76/133]: 12ms; RSS 487 MiB
Stage route_pass [76/133]: 219ms; RSS 518 MiB
Batch 76/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 1346ms; RSS 518 MiB
Stage primary_extraction [77/133]: 361ms; RSS 445 MiB
Stage schema_pass [77/133]: 41ms; RSS 448 MiB
Stage framework_pass [77/133]: 23ms; RSS 451 MiB
Stage string_literal_pass [77/133]: 16ms; RSS 452 MiB
Stage param_flow_pass [77/133]: 3ms; RSS 453 MiB
Stage route_pass [77/133]: 54ms; RSS 459 MiB
Batch 77/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 620ms; RSS 459 MiB
Stage primary_extraction [78/133]: 1121ms; RSS 461 MiB
Stage schema_pass [78/133]: 58ms; RSS 469 MiB
Stage framework_pass [78/133]: 90ms; RSS 484 MiB
Stage string_literal_pass [78/133]: 81ms; RSS 496 MiB
Stage param_flow_pass [78/133]: 10ms; RSS 496 MiB
Stage route_pass [78/133]: 122ms; RSS 517 MiB
Batch 78/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 1658ms; RSS 517 MiB
Stage primary_extraction [79/133]: 7ms; RSS 527 MiB
Stage schema_pass [79/133]: 1ms; RSS 527 MiB
Stage framework_pass [79/133]: 0ms; RSS 527 MiB
Stage string_literal_pass [79/133]: 0ms; RSS 527 MiB
Stage param_flow_pass [79/133]: 0ms; RSS 527 MiB
Stage route_pass [79/133]: 1ms; RSS 527 MiB
Batch 79/133: 5 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/science-advantage/tsconfig.json in 23ms; RSS 526 MiB
Stage primary_extraction [80/133]: 996ms; RSS 455 MiB
Stage schema_pass [80/133]: 48ms; RSS 460 MiB
Stage framework_pass [80/133]: 109ms; RSS 474 MiB
Stage string_literal_pass [80/133]: 72ms; RSS 487 MiB
Stage param_flow_pass [80/133]: 3ms; RSS 487 MiB
Stage route_pass [80/133]: 105ms; RSS 507 MiB
Batch 80/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/www-reading-advantage/tsconfig.json in 1464ms; RSS 507 MiB
Stage primary_extraction [81/133]: 1005ms; RSS 472 MiB
Stage schema_pass [81/133]: 53ms; RSS 479 MiB
Stage framework_pass [81/133]: 131ms; RSS 498 MiB
Stage string_literal_pass [81/133]: 92ms; RSS 515 MiB
Stage param_flow_pass [81/133]: 4ms; RSS 515 MiB
Stage route_pass [81/133]: 116ms; RSS 535 MiB
Batch 81/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/www-reading-advantage/tsconfig.json in 1558ms; RSS 535 MiB
Stage primary_extraction [82/133]: 704ms; RSS 456 MiB
Stage schema_pass [82/133]: 60ms; RSS 464 MiB
Stage framework_pass [82/133]: 60ms; RSS 471 MiB
Stage string_literal_pass [82/133]: 44ms; RSS 475 MiB
Stage param_flow_pass [82/133]: 4ms; RSS 475 MiB
Stage route_pass [82/133]: 112ms; RSS 494 MiB
Batch 82/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/www-reading-advantage/tsconfig.json in 1128ms; RSS 494 MiB
Stage primary_extraction [83/133]: 187ms; RSS 457 MiB
Stage schema_pass [83/133]: 78ms; RSS 449 MiB
Stage framework_pass [83/133]: 7ms; RSS 449 MiB
Stage string_literal_pass [83/133]: 5ms; RSS 449 MiB
Stage param_flow_pass [83/133]: 5ms; RSS 449 MiB
Stage route_pass [83/133]: 49ms; RSS 452 MiB
Batch 83/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/www-reading-advantage/tsconfig.json in 408ms; RSS 452 MiB
Stage primary_extraction [84/133]: 134ms; RSS 448 MiB
Stage schema_pass [84/133]: 42ms; RSS 449 MiB
Stage framework_pass [84/133]: 5ms; RSS 449 MiB
Stage string_literal_pass [84/133]: 4ms; RSS 450 MiB
Stage param_flow_pass [84/133]: 2ms; RSS 450 MiB
Stage route_pass [84/133]: 21ms; RSS 452 MiB
Batch 84/133: 19 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/apps/www-reading-advantage/tsconfig.json in 261ms; RSS 452 MiB
Stage primary_extraction [85/133]: 6ms; RSS 451 MiB
Stage schema_pass [85/133]: 15ms; RSS 451 MiB
Stage framework_pass [85/133]: 0ms; RSS 451 MiB
Stage string_literal_pass [85/133]: 0ms; RSS 451 MiB
Stage param_flow_pass [85/133]: 0ms; RSS 451 MiB
Stage route_pass [85/133]: 0ms; RSS 451 MiB
Batch 85/133: 3 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/measure/tracks/company_identity_sso_20260715/fixtures/architecture/positive/apps/sales/tsconfig.json in 39ms; RSS 451 MiB
Stage primary_extraction [86/133]: 227ms; RSS 441 MiB
Stage schema_pass [86/133]: 11ms; RSS 442 MiB
Stage framework_pass [86/133]: 24ms; RSS 443 MiB
Stage string_literal_pass [86/133]: 15ms; RSS 444 MiB
Stage param_flow_pass [86/133]: 4ms; RSS 444 MiB
Stage route_pass [86/133]: 21ms; RSS 446 MiB
Batch 86/133: 5 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/activity-react/tsconfig.json in 338ms; RSS 446 MiB
Stage primary_extraction [87/133]: 375ms; RSS 448 MiB
Stage schema_pass [87/133]: 33ms; RSS 451 MiB
Stage framework_pass [87/133]: 30ms; RSS 454 MiB
Stage string_literal_pass [87/133]: 22ms; RSS 455 MiB
Stage param_flow_pass [87/133]: 12ms; RSS 455 MiB
Stage route_pass [87/133]: 52ms; RSS 461 MiB
Batch 87/133: 9 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/activity-runtime/tsconfig.json in 600ms; RSS 461 MiB
Stage primary_extraction [88/133]: 265ms; RSS 449 MiB
Stage schema_pass [88/133]: 18ms; RSS 448 MiB
Stage framework_pass [88/133]: 20ms; RSS 450 MiB
Stage string_literal_pass [88/133]: 14ms; RSS 451 MiB
Stage param_flow_pass [88/133]: 6ms; RSS 451 MiB
Stage route_pass [88/133]: 30ms; RSS 454 MiB
Batch 88/133: 10 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/activity-tutorial/tsconfig.json in 409ms; RSS 454 MiB
Stage primary_extraction [89/133]: 1533ms; RSS 488 MiB
Stage schema_pass [89/133]: 117ms; RSS 502 MiB
Stage framework_pass [89/133]: 141ms; RSS 528 MiB
Stage string_literal_pass [89/133]: 95ms; RSS 546 MiB
Stage param_flow_pass [89/133]: 79ms; RSS 549 MiB
Stage route_pass [89/133]: 195ms; RSS 557 MiB
Batch 89/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/advantage-play-kit/tsconfig.json in 2410ms; RSS 557 MiB
Stage primary_extraction [90/133]: 1044ms; RSS 464 MiB
Stage schema_pass [90/133]: 34ms; RSS 468 MiB
Stage framework_pass [90/133]: 62ms; RSS 476 MiB
Stage string_literal_pass [90/133]: 51ms; RSS 484 MiB
Stage param_flow_pass [90/133]: 21ms; RSS 484 MiB
Stage route_pass [90/133]: 86ms; RSS 497 MiB
Batch 90/133: 29 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/advantage-play-kit/tsconfig.json in 1647ms; RSS 497 MiB
Stage primary_extraction [91/133]: 456ms; RSS 454 MiB
Stage schema_pass [91/133]: 72ms; RSS 459 MiB
Stage framework_pass [91/133]: 20ms; RSS 461 MiB
Stage string_literal_pass [91/133]: 15ms; RSS 462 MiB
Stage param_flow_pass [91/133]: 6ms; RSS 463 MiB
Stage route_pass [91/133]: 777ms; RSS 475 MiB
Batch 91/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/ai/tsconfig.json in 1509ms; RSS 475 MiB
Stage primary_extraction [92/133]: 461ms; RSS 451 MiB
Stage schema_pass [92/133]: 21ms; RSS 452 MiB
Stage framework_pass [92/133]: 4ms; RSS 452 MiB
Stage string_literal_pass [92/133]: 3ms; RSS 453 MiB
Stage param_flow_pass [92/133]: 1ms; RSS 453 MiB
Stage route_pass [92/133]: 45ms; RSS 455 MiB
Batch 92/133: 13 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/ai/tsconfig.json in 606ms; RSS 455 MiB
Stage primary_extraction [93/133]: 623ms; RSS 476 MiB
Stage schema_pass [93/133]: 108ms; RSS 482 MiB
Stage framework_pass [93/133]: 17ms; RSS 484 MiB
Stage string_literal_pass [93/133]: 13ms; RSS 486 MiB
Stage param_flow_pass [93/133]: 6ms; RSS 486 MiB
Stage route_pass [93/133]: 190ms; RSS 505 MiB
Batch 93/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/api/tsconfig.json in 1186ms; RSS 505 MiB
Stage primary_extraction [94/133]: 563ms; RSS 462 MiB
Stage schema_pass [94/133]: 50ms; RSS 465 MiB
Stage framework_pass [94/133]: 31ms; RSS 468 MiB
Stage string_literal_pass [94/133]: 25ms; RSS 471 MiB
Stage param_flow_pass [94/133]: 4ms; RSS 471 MiB
Stage route_pass [94/133]: 97ms; RSS 486 MiB
Batch 94/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/api/tsconfig.json in 946ms; RSS 486 MiB
Stage primary_extraction [95/133]: 45ms; RSS 483 MiB
Stage schema_pass [95/133]: 5ms; RSS 481 MiB
Stage framework_pass [95/133]: 2ms; RSS 481 MiB
Stage string_literal_pass [95/133]: 1ms; RSS 481 MiB
Stage param_flow_pass [95/133]: 2ms; RSS 481 MiB
Stage route_pass [95/133]: 3ms; RSS 481 MiB
Batch 95/133: 3 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/api/tsconfig.json in 71ms; RSS 481 MiB
Stage primary_extraction [96/133]: 1522ms; RSS 497 MiB
Stage schema_pass [96/133]: 262ms; RSS 515 MiB
Stage framework_pass [96/133]: 110ms; RSS 535 MiB
Stage string_literal_pass [96/133]: 71ms; RSS 549 MiB
Stage param_flow_pass [96/133]: 35ms; RSS 549 MiB
Stage route_pass [96/133]: 232ms; RSS 564 MiB
Batch 96/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/architecture-enforcement/tsconfig.json in 2500ms; RSS 564 MiB
Stage primary_extraction [97/133]: 2063ms; RSS 499 MiB
Stage schema_pass [97/133]: 76ms; RSS 511 MiB
Stage framework_pass [97/133]: 131ms; RSS 536 MiB
Stage string_literal_pass [97/133]: 97ms; RSS 554 MiB
Stage param_flow_pass [97/133]: 55ms; RSS 554 MiB
Stage route_pass [97/133]: 171ms; RSS 583 MiB
Batch 97/133: 21 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/architecture-enforcement/tsconfig.json in 2846ms; RSS 583 MiB
Stage primary_extraction [98/133]: 89ms; RSS 586 MiB
Stage schema_pass [98/133]: 8ms; RSS 586 MiB
Stage framework_pass [98/133]: 3ms; RSS 586 MiB
Stage string_literal_pass [98/133]: 3ms; RSS 586 MiB
Stage param_flow_pass [98/133]: 1ms; RSS 586 MiB
Stage route_pass [98/133]: 11ms; RSS 586 MiB
Batch 98/133: 5 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/auth-client/tsconfig.json in 145ms; RSS 586 MiB
Stage primary_extraction [99/133]: 478ms; RSS 464 MiB
Stage schema_pass [99/133]: 97ms; RSS 471 MiB
Stage framework_pass [99/133]: 19ms; RSS 472 MiB
Stage string_literal_pass [99/133]: 11ms; RSS 473 MiB
Stage param_flow_pass [99/133]: 4ms; RSS 473 MiB
Stage route_pass [99/133]: 127ms; RSS 491 MiB
Batch 99/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/auth/tsconfig.json in 876ms; RSS 491 MiB
Stage primary_extraction [100/133]: 682ms; RSS 463 MiB
Stage schema_pass [100/133]: 43ms; RSS 466 MiB
Stage framework_pass [100/133]: 41ms; RSS 470 MiB
Stage string_literal_pass [100/133]: 35ms; RSS 473 MiB
Stage param_flow_pass [100/133]: 15ms; RSS 473 MiB
Stage route_pass [100/133]: 60ms; RSS 482 MiB
Batch 100/133: 21 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/auth/tsconfig.json in 1041ms; RSS 483 MiB
Stage primary_extraction [101/133]: 2141ms; RSS 497 MiB
Stage schema_pass [101/133]: 248ms; RSS 509 MiB
Stage framework_pass [101/133]: 359ms; RSS 534 MiB
Stage string_literal_pass [101/133]: 143ms; RSS 552 MiB
Stage param_flow_pass [101/133]: 36ms; RSS 553 MiB
Stage route_pass [101/133]: 287ms; RSS 584 MiB
Batch 101/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/backend/tsconfig.json in 3540ms; RSS 584 MiB
Stage primary_extraction [102/133]: 701ms; RSS 465 MiB
Stage schema_pass [102/133]: 27ms; RSS 468 MiB
Stage framework_pass [102/133]: 45ms; RSS 472 MiB
Stage string_literal_pass [102/133]: 28ms; RSS 474 MiB
Stage param_flow_pass [102/133]: 18ms; RSS 475 MiB
Stage route_pass [102/133]: 55ms; RSS 481 MiB
Batch 102/133: 15 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/backend/tsconfig.json in 979ms; RSS 482 MiB
Stage primary_extraction [103/133]: 636ms; RSS 463 MiB
Stage schema_pass [103/133]: 36ms; RSS 467 MiB
Stage framework_pass [103/133]: 41ms; RSS 473 MiB
Stage string_literal_pass [103/133]: 33ms; RSS 478 MiB
Stage param_flow_pass [103/133]: 9ms; RSS 478 MiB
Stage route_pass [103/133]: 65ms; RSS 488 MiB
Batch 103/133: 19 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/codecamp-knowledge/tsconfig.json in 904ms; RSS 488 MiB
Stage primary_extraction [104/133]: 591ms; RSS 472 MiB
Stage schema_pass [104/133]: 143ms; RSS 481 MiB
Stage framework_pass [104/133]: 67ms; RSS 483 MiB
Stage string_literal_pass [104/133]: 29ms; RSS 484 MiB
Stage param_flow_pass [104/133]: 9ms; RSS 484 MiB
Stage route_pass [104/133]: 186ms; RSS 513 MiB
Batch 104/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/db/tsconfig.json in 1249ms; RSS 513 MiB
Stage primary_extraction [105/133]: 662ms; RSS 476 MiB
Stage schema_pass [105/133]: 101ms; RSS 488 MiB
Stage framework_pass [105/133]: 20ms; RSS 490 MiB
Stage string_literal_pass [105/133]: 15ms; RSS 492 MiB
Stage param_flow_pass [105/133]: 11ms; RSS 493 MiB
Stage route_pass [105/133]: 179ms; RSS 519 MiB
Batch 105/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/db/tsconfig.json in 1172ms; RSS 519 MiB
Stage primary_extraction [106/133]: 1329ms; RSS 497 MiB
Stage schema_pass [106/133]: 107ms; RSS 511 MiB
Stage framework_pass [106/133]: 73ms; RSS 525 MiB
Stage string_literal_pass [106/133]: 58ms; RSS 536 MiB
Stage param_flow_pass [106/133]: 18ms; RSS 537 MiB
Stage route_pass [106/133]: 197ms; RSS 572 MiB
Batch 106/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/db/tsconfig.json in 2004ms; RSS 572 MiB
Stage primary_extraction [107/133]: 852ms; RSS 496 MiB
Stage schema_pass [107/133]: 133ms; RSS 509 MiB
Stage framework_pass [107/133]: 72ms; RSS 521 MiB
Stage string_literal_pass [107/133]: 53ms; RSS 530 MiB
Stage param_flow_pass [107/133]: 7ms; RSS 530 MiB
Stage route_pass [107/133]: 210ms; RSS 560 MiB
Batch 107/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-one-source/packages/db/tsconfig.json in 1532ms; RSS 560 MiB
Stage primary_extraction [108/133]: 181ms; RSS 481 MiB
Stage schema_pass [108/133]: 28ms; RSS 481 MiB
Stage framework_pass [108/133]: 11ms; RSS 482 MiB
Stage string_literal_pass [108/133]: 7ms; RSS 483 MiB
Stage param_flow_pass [108/133]: 6ms; RSS 483 MiB
Stage route_pass [108/133]: 11ms; RSS 483 MiB
