Stage project_discovery: 47ms; RSS 117 MiB
Stage param_flow_pass [55/134]: 4ms; RSS 397 MiB
Stage route_pass [55/134]: 63ms; RSS 412 MiB
Batch 55/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 740ms; RSS 412 MiB
Stage primary_extraction [56/134]: 695ms; RSS 407 MiB
Stage schema_pass [56/134]: 99ms; RSS 412 MiB
Stage framework_pass [56/134]: 77ms; RSS 428 MiB
Stage string_literal_pass [56/134]: 45ms; RSS 439 MiB
Stage param_flow_pass [56/134]: 29ms; RSS 439 MiB
Stage route_pass [56/134]: 122ms; RSS 441 MiB
Batch 56/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 1202ms; RSS 441 MiB
Stage primary_extraction [57/134]: 390ms; RSS 399 MiB
Stage schema_pass [57/134]: 85ms; RSS 425 MiB
Stage framework_pass [57/134]: 24ms; RSS 432 MiB
Stage string_literal_pass [57/134]: 13ms; RSS 437 MiB
Stage param_flow_pass [57/134]: 3ms; RSS 437 MiB
Stage route_pass [57/134]: 121ms; RSS 446 MiB
Batch 57/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 768ms; RSS 446 MiB
Stage primary_extraction [58/134]: 1728ms; RSS 477 MiB
Stage schema_pass [58/134]: 71ms; RSS 486 MiB
Stage framework_pass [58/134]: 137ms; RSS 524 MiB
Stage string_literal_pass [58/134]: 167ms; RSS 539 MiB
Stage param_flow_pass [58/134]: 14ms; RSS 539 MiB
Stage route_pass [58/134]: 95ms; RSS 539 MiB
Batch 58/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 2363ms; RSS 540 MiB
Stage primary_extraction [59/134]: 3556ms; RSS 534 MiB
Stage schema_pass [59/134]: 125ms; RSS 536 MiB
Stage framework_pass [59/134]: 242ms; RSS 576 MiB
Stage string_literal_pass [59/134]: 355ms; RSS 592 MiB
Stage param_flow_pass [59/134]: 35ms; RSS 592 MiB
Stage route_pass [59/134]: 143ms; RSS 592 MiB
Batch 59/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 4713ms; RSS 592 MiB
Stage primary_extraction [60/134]: 2972ms; RSS 537 MiB
Stage schema_pass [60/134]: 103ms; RSS 550 MiB
Stage framework_pass [60/134]: 489ms; RSS 594 MiB
Stage string_literal_pass [60/134]: 93ms; RSS 594 MiB
Stage param_flow_pass [60/134]: 45ms; RSS 594 MiB
Stage route_pass [60/134]: 109ms; RSS 594 MiB
Batch 60/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 4027ms; RSS 594 MiB
Stage primary_extraction [61/134]: 312ms; RSS 487 MiB
Stage schema_pass [61/134]: 39ms; RSS 451 MiB
Stage framework_pass [61/134]: 30ms; RSS 457 MiB
Stage string_literal_pass [61/134]: 29ms; RSS 461 MiB
Stage param_flow_pass [61/134]: 6ms; RSS 462 MiB
Stage route_pass [61/134]: 41ms; RSS 470 MiB
Batch 61/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 523ms; RSS 470 MiB
Stage primary_extraction [62/134]: 281ms; RSS 466 MiB
Stage schema_pass [62/134]: 24ms; RSS 444 MiB
Stage framework_pass [62/134]: 4ms; RSS 439 MiB
Stage string_literal_pass [62/134]: 3ms; RSS 436 MiB
Stage param_flow_pass [62/134]: 1ms; RSS 434 MiB
Stage route_pass [62/134]: 40ms; RSS 419 MiB
Batch 62/134: 24 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/reading-advantage/tsconfig.json in 425ms; RSS 419 MiB
Stage primary_extraction [63/134]: 383ms; RSS 415 MiB
Stage schema_pass [63/134]: 31ms; RSS 420 MiB
Stage framework_pass [63/134]: 30ms; RSS 426 MiB
Stage string_literal_pass [63/134]: 25ms; RSS 430 MiB
Stage param_flow_pass [63/134]: 3ms; RSS 430 MiB
Stage route_pass [63/134]: 48ms; RSS 439 MiB
Batch 63/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/sales-advantage/tsconfig.json in 577ms; RSS 440 MiB
Stage primary_extraction [64/134]: 424ms; RSS 423 MiB
Stage schema_pass [64/134]: 34ms; RSS 424 MiB
Stage framework_pass [64/134]: 40ms; RSS 433 MiB
Stage string_literal_pass [64/134]: 26ms; RSS 439 MiB
Stage param_flow_pass [64/134]: 8ms; RSS 439 MiB
Stage route_pass [64/134]: 74ms; RSS 454 MiB
Batch 64/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/sales-advantage/tsconfig.json in 691ms; RSS 454 MiB
Stage primary_extraction [65/134]: 464ms; RSS 424 MiB
Stage schema_pass [65/134]: 45ms; RSS 431 MiB
Stage framework_pass [65/134]: 24ms; RSS 431 MiB
Stage string_literal_pass [65/134]: 21ms; RSS 436 MiB
Stage param_flow_pass [65/134]: 15ms; RSS 436 MiB
Stage route_pass [65/134]: 69ms; RSS 451 MiB
Batch 65/134: 21 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/sales-advantage/tsconfig.json in 725ms; RSS 451 MiB
Stage primary_extraction [66/134]: 464ms; RSS 424 MiB
Stage schema_pass [66/134]: 24ms; RSS 425 MiB
Stage framework_pass [66/134]: 27ms; RSS 430 MiB
Stage string_literal_pass [66/134]: 23ms; RSS 435 MiB
Stage param_flow_pass [66/134]: 4ms; RSS 436 MiB
Stage route_pass [66/134]: 47ms; RSS 443 MiB
Batch 66/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 667ms; RSS 443 MiB
Stage primary_extraction [67/134]: 712ms; RSS 450 MiB
Stage schema_pass [67/134]: 80ms; RSS 470 MiB
Stage framework_pass [67/134]: 60ms; RSS 485 MiB
Stage string_literal_pass [67/134]: 44ms; RSS 495 MiB
Stage param_flow_pass [67/134]: 7ms; RSS 495 MiB
Stage route_pass [67/134]: 184ms; RSS 514 MiB
Batch 67/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 1254ms; RSS 514 MiB
Stage primary_extraction [68/134]: 866ms; RSS 462 MiB
Stage schema_pass [68/134]: 58ms; RSS 474 MiB
Stage framework_pass [68/134]: 69ms; RSS 484 MiB
Stage string_literal_pass [68/134]: 42ms; RSS 494 MiB
Stage param_flow_pass [68/134]: 6ms; RSS 495 MiB
Stage route_pass [68/134]: 167ms; RSS 519 MiB
Batch 68/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 1360ms; RSS 519 MiB
Stage primary_extraction [69/134]: 603ms; RSS 448 MiB
Stage schema_pass [69/134]: 48ms; RSS 455 MiB
Stage framework_pass [69/134]: 42ms; RSS 463 MiB
Stage string_literal_pass [69/134]: 36ms; RSS 470 MiB
Stage param_flow_pass [69/134]: 5ms; RSS 471 MiB
Stage route_pass [69/134]: 92ms; RSS 492 MiB
Batch 69/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 922ms; RSS 492 MiB
Stage primary_extraction [70/134]: 850ms; RSS 465 MiB
Stage schema_pass [70/134]: 75ms; RSS 475 MiB
Stage framework_pass [70/134]: 143ms; RSS 503 MiB
Stage string_literal_pass [70/134]: 161ms; RSS 519 MiB
Stage param_flow_pass [70/134]: 9ms; RSS 519 MiB
Stage route_pass [70/134]: 55ms; RSS 518 MiB
Batch 70/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 1397ms; RSS 522 MiB
Stage primary_extraction [71/134]: 590ms; RSS 460 MiB
Stage schema_pass [71/134]: 41ms; RSS 465 MiB
Stage framework_pass [71/134]: 77ms; RSS 485 MiB
Stage string_literal_pass [71/134]: 54ms; RSS 500 MiB
Stage param_flow_pass [71/134]: 8ms; RSS 500 MiB
Stage route_pass [71/134]: 84ms; RSS 522 MiB
Batch 71/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 946ms; RSS 522 MiB
Stage primary_extraction [72/134]: 623ms; RSS 456 MiB
Stage schema_pass [72/134]: 61ms; RSS 465 MiB
Stage framework_pass [72/134]: 21ms; RSS 470 MiB
Stage string_literal_pass [72/134]: 18ms; RSS 474 MiB
Stage param_flow_pass [72/134]: 7ms; RSS 475 MiB
Stage route_pass [72/134]: 118ms; RSS 503 MiB
Batch 72/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 992ms; RSS 503 MiB
Stage primary_extraction [73/134]: 331ms; RSS 444 MiB
Stage schema_pass [73/134]: 34ms; RSS 448 MiB
Stage framework_pass [73/134]: 17ms; RSS 451 MiB
Stage string_literal_pass [73/134]: 14ms; RSS 453 MiB
Stage param_flow_pass [73/134]: 5ms; RSS 453 MiB
Stage route_pass [73/134]: 60ms; RSS 467 MiB
Batch 73/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 554ms; RSS 467 MiB
Stage primary_extraction [74/134]: 369ms; RSS 449 MiB
Stage schema_pass [74/134]: 46ms; RSS 455 MiB
Stage framework_pass [74/134]: 15ms; RSS 457 MiB
Stage string_literal_pass [74/134]: 15ms; RSS 459 MiB
Stage param_flow_pass [74/134]: 7ms; RSS 459 MiB
Stage route_pass [74/134]: 88ms; RSS 481 MiB
Batch 74/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 646ms; RSS 481 MiB
Stage primary_extraction [75/134]: 259ms; RSS 439 MiB
Stage schema_pass [75/134]: 35ms; RSS 443 MiB
Stage framework_pass [75/134]: 10ms; RSS 445 MiB
Stage string_literal_pass [75/134]: 7ms; RSS 446 MiB
Stage param_flow_pass [75/134]: 4ms; RSS 446 MiB
Stage route_pass [75/134]: 49ms; RSS 455 MiB
Batch 75/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 430ms; RSS 456 MiB
Stage primary_extraction [76/134]: 610ms; RSS 458 MiB
Stage schema_pass [76/134]: 85ms; RSS 466 MiB
Stage framework_pass [76/134]: 34ms; RSS 473 MiB
Stage string_literal_pass [76/134]: 24ms; RSS 479 MiB
Stage param_flow_pass [76/134]: 5ms; RSS 479 MiB
Stage route_pass [76/134]: 99ms; RSS 505 MiB
Batch 76/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 955ms; RSS 505 MiB
Stage primary_extraction [77/134]: 271ms; RSS 442 MiB
Stage schema_pass [77/134]: 25ms; RSS 444 MiB
Stage framework_pass [77/134]: 14ms; RSS 446 MiB
Stage string_literal_pass [77/134]: 11ms; RSS 448 MiB
Stage param_flow_pass [77/134]: 3ms; RSS 448 MiB
Stage route_pass [77/134]: 40ms; RSS 454 MiB
Batch 77/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 452ms; RSS 454 MiB
Stage primary_extraction [78/134]: 619ms; RSS 462 MiB
Stage schema_pass [78/134]: 44ms; RSS 469 MiB
Stage framework_pass [78/134]: 55ms; RSS 484 MiB
Stage string_literal_pass [78/134]: 52ms; RSS 497 MiB
Stage param_flow_pass [78/134]: 5ms; RSS 498 MiB
Stage route_pass [78/134]: 75ms; RSS 518 MiB
Batch 78/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 932ms; RSS 518 MiB
Stage primary_extraction [79/134]: 4ms; RSS 533 MiB
Stage schema_pass [79/134]: 0ms; RSS 533 MiB
Stage framework_pass [79/134]: 0ms; RSS 533 MiB
Stage string_literal_pass [79/134]: 0ms; RSS 533 MiB
Stage param_flow_pass [79/134]: 0ms; RSS 533 MiB
Stage route_pass [79/134]: 0ms; RSS 533 MiB
Batch 79/134: 5 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/science-advantage/tsconfig.json in 10ms; RSS 533 MiB
Stage primary_extraction [80/134]: 527ms; RSS 458 MiB
Stage schema_pass [80/134]: 35ms; RSS 463 MiB
Stage framework_pass [80/134]: 53ms; RSS 476 MiB
Stage string_literal_pass [80/134]: 49ms; RSS 488 MiB
Stage param_flow_pass [80/134]: 2ms; RSS 488 MiB
Stage route_pass [80/134]: 65ms; RSS 507 MiB
Batch 80/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/www-reading-advantage/tsconfig.json in 788ms; RSS 507 MiB
Stage primary_extraction [81/134]: 633ms; RSS 470 MiB
Stage schema_pass [81/134]: 34ms; RSS 477 MiB
Stage framework_pass [81/134]: 82ms; RSS 498 MiB
Stage string_literal_pass [81/134]: 56ms; RSS 515 MiB
Stage param_flow_pass [81/134]: 3ms; RSS 515 MiB
Stage route_pass [81/134]: 78ms; RSS 535 MiB
Batch 81/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/www-reading-advantage/tsconfig.json in 983ms; RSS 535 MiB
Stage primary_extraction [82/134]: 324ms; RSS 456 MiB
Stage schema_pass [82/134]: 41ms; RSS 465 MiB
Stage framework_pass [82/134]: 34ms; RSS 471 MiB
Stage string_literal_pass [82/134]: 23ms; RSS 477 MiB
Stage param_flow_pass [82/134]: 2ms; RSS 477 MiB
Stage route_pass [82/134]: 70ms; RSS 496 MiB
Batch 82/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/www-reading-advantage/tsconfig.json in 567ms; RSS 496 MiB
Stage primary_extraction [83/134]: 199ms; RSS 458 MiB
Stage schema_pass [83/134]: 72ms; RSS 460 MiB
Stage framework_pass [83/134]: 6ms; RSS 461 MiB
Stage string_literal_pass [83/134]: 5ms; RSS 455 MiB
Stage param_flow_pass [83/134]: 4ms; RSS 451 MiB
Stage route_pass [83/134]: 50ms; RSS 454 MiB
Batch 83/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/www-reading-advantage/tsconfig.json in 427ms; RSS 454 MiB
Stage primary_extraction [84/134]: 147ms; RSS 449 MiB
Stage schema_pass [84/134]: 25ms; RSS 449 MiB
Stage framework_pass [84/134]: 4ms; RSS 449 MiB
Stage string_literal_pass [84/134]: 2ms; RSS 449 MiB
Stage param_flow_pass [84/134]: 1ms; RSS 449 MiB
Stage route_pass [84/134]: 17ms; RSS 451 MiB
Batch 84/134: 19 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/apps/www-reading-advantage/tsconfig.json in 231ms; RSS 451 MiB
Stage primary_extraction [85/134]: 3ms; RSS 448 MiB
Stage schema_pass [85/134]: 8ms; RSS 448 MiB
Stage framework_pass [85/134]: 0ms; RSS 448 MiB
Stage string_literal_pass [85/134]: 0ms; RSS 448 MiB
Stage param_flow_pass [85/134]: 0ms; RSS 448 MiB
Stage route_pass [85/134]: 0ms; RSS 448 MiB
Batch 85/134: 3 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/measure/tracks/company_identity_sso_20260715/fixtures/architecture/positive/apps/sales/tsconfig.json in 14ms; RSS 448 MiB
Stage primary_extraction [86/134]: 178ms; RSS 443 MiB
Stage schema_pass [86/134]: 7ms; RSS 443 MiB
Stage framework_pass [86/134]: 16ms; RSS 445 MiB
Stage string_literal_pass [86/134]: 12ms; RSS 446 MiB
Stage param_flow_pass [86/134]: 3ms; RSS 446 MiB
Stage route_pass [86/134]: 18ms; RSS 447 MiB
Batch 86/134: 5 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/activity-react/tsconfig.json in 261ms; RSS 448 MiB
Stage primary_extraction [87/134]: 267ms; RSS 450 MiB
Stage schema_pass [87/134]: 22ms; RSS 453 MiB
Stage framework_pass [87/134]: 16ms; RSS 456 MiB
Stage string_literal_pass [87/134]: 12ms; RSS 458 MiB
Stage param_flow_pass [87/134]: 6ms; RSS 458 MiB
Stage route_pass [87/134]: 36ms; RSS 464 MiB
Batch 87/134: 9 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/activity-runtime/tsconfig.json in 416ms; RSS 464 MiB
Stage primary_extraction [88/134]: 164ms; RSS 447 MiB
Stage schema_pass [88/134]: 11ms; RSS 448 MiB
Stage framework_pass [88/134]: 12ms; RSS 449 MiB
Stage string_literal_pass [88/134]: 10ms; RSS 450 MiB
Stage param_flow_pass [88/134]: 4ms; RSS 450 MiB
Stage route_pass [88/134]: 21ms; RSS 454 MiB
Batch 88/134: 10 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/activity-tutorial/tsconfig.json in 256ms; RSS 454 MiB
Stage primary_extraction [89/134]: 902ms; RSS 491 MiB
Stage schema_pass [89/134]: 77ms; RSS 508 MiB
Stage framework_pass [89/134]: 93ms; RSS 537 MiB
Stage string_literal_pass [89/134]: 111ms; RSS 549 MiB
Stage param_flow_pass [89/134]: 50ms; RSS 549 MiB
Stage route_pass [89/134]: 63ms; RSS 549 MiB
Batch 89/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/advantage-play-kit/tsconfig.json in 1469ms; RSS 550 MiB
Stage primary_extraction [90/134]: 485ms; RSS 475 MiB
Stage schema_pass [90/134]: 30ms; RSS 480 MiB
Stage framework_pass [90/134]: 57ms; RSS 494 MiB
Stage string_literal_pass [90/134]: 34ms; RSS 504 MiB
Stage param_flow_pass [90/134]: 11ms; RSS 504 MiB
Stage route_pass [90/134]: 69ms; RSS 522 MiB
Batch 90/134: 31 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/advantage-play-kit/tsconfig.json in 852ms; RSS 522 MiB
Stage primary_extraction [91/134]: 386ms; RSS 461 MiB
Stage schema_pass [91/134]: 43ms; RSS 466 MiB
Stage framework_pass [91/134]: 10ms; RSS 468 MiB
Stage string_literal_pass [91/134]: 10ms; RSS 470 MiB
Stage param_flow_pass [91/134]: 5ms; RSS 470 MiB
Stage route_pass [91/134]: 64ms; RSS 478 MiB
Batch 91/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/ai/tsconfig.json in 633ms; RSS 478 MiB
Stage primary_extraction [92/134]: 183ms; RSS 455 MiB
Stage schema_pass [92/134]: 14ms; RSS 456 MiB
Stage framework_pass [92/134]: 2ms; RSS 457 MiB
Stage string_literal_pass [92/134]: 2ms; RSS 456 MiB
Stage param_flow_pass [92/134]: 1ms; RSS 456 MiB
Stage route_pass [92/134]: 17ms; RSS 458 MiB
Batch 92/134: 13 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/ai/tsconfig.json in 272ms; RSS 458 MiB
Stage primary_extraction [93/134]: 383ms; RSS 464 MiB
Stage schema_pass [93/134]: 65ms; RSS 470 MiB
Stage framework_pass [93/134]: 9ms; RSS 472 MiB
Stage string_literal_pass [93/134]: 9ms; RSS 473 MiB
Stage param_flow_pass [93/134]: 5ms; RSS 473 MiB
Stage route_pass [93/134]: 119ms; RSS 502 MiB
Batch 93/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/api/tsconfig.json in 707ms; RSS 502 MiB
Stage primary_extraction [94/134]: 331ms; RSS 463 MiB
Stage schema_pass [94/134]: 27ms; RSS 467 MiB
Stage framework_pass [94/134]: 21ms; RSS 471 MiB
Stage string_literal_pass [94/134]: 14ms; RSS 472 MiB
Stage param_flow_pass [94/134]: 3ms; RSS 472 MiB
Stage route_pass [94/134]: 55ms; RSS 484 MiB
Batch 94/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/api/tsconfig.json in 524ms; RSS 485 MiB
Stage primary_extraction [95/134]: 31ms; RSS 471 MiB
Stage schema_pass [95/134]: 2ms; RSS 470 MiB
Stage framework_pass [95/134]: 1ms; RSS 469 MiB
Stage string_literal_pass [95/134]: 1ms; RSS 468 MiB
Stage param_flow_pass [95/134]: 1ms; RSS 467 MiB
Stage route_pass [95/134]: 3ms; RSS 464 MiB
Batch 95/134: 3 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/api/tsconfig.json in 46ms; RSS 464 MiB
Stage primary_extraction [96/134]: 982ms; RSS 498 MiB
Stage schema_pass [96/134]: 86ms; RSS 514 MiB
Stage framework_pass [96/134]: 74ms; RSS 534 MiB
Stage string_literal_pass [96/134]: 51ms; RSS 548 MiB
Stage param_flow_pass [96/134]: 22ms; RSS 549 MiB
Stage route_pass [96/134]: 154ms; RSS 562 MiB
Batch 96/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/architecture-enforcement/tsconfig.json in 1539ms; RSS 562 MiB
Stage primary_extraction [97/134]: 1231ms; RSS 525 MiB
Stage schema_pass [97/134]: 52ms; RSS 537 MiB
Stage framework_pass [97/134]: 91ms; RSS 540 MiB
Stage string_literal_pass [97/134]: 64ms; RSS 559 MiB
Stage param_flow_pass [97/134]: 36ms; RSS 557 MiB
Stage route_pass [97/134]: 102ms; RSS 586 MiB
Batch 97/134: 21 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/architecture-enforcement/tsconfig.json in 1814ms; RSS 586 MiB
Stage primary_extraction [98/134]: 54ms; RSS 587 MiB
Stage schema_pass [98/134]: 5ms; RSS 587 MiB
Stage framework_pass [98/134]: 2ms; RSS 587 MiB
Stage string_literal_pass [98/134]: 1ms; RSS 587 MiB
Stage param_flow_pass [98/134]: 1ms; RSS 587 MiB
Stage route_pass [98/134]: 7ms; RSS 587 MiB
Batch 98/134: 5 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/auth-client/tsconfig.json in 86ms; RSS 587 MiB
Stage primary_extraction [99/134]: 364ms; RSS 466 MiB
Stage schema_pass [99/134]: 46ms; RSS 473 MiB
Stage framework_pass [99/134]: 8ms; RSS 474 MiB
Stage string_literal_pass [99/134]: 6ms; RSS 475 MiB
Stage param_flow_pass [99/134]: 3ms; RSS 475 MiB
Stage route_pass [99/134]: 83ms; RSS 490 MiB
Batch 99/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/auth/tsconfig.json in 612ms; RSS 490 MiB
Stage primary_extraction [100/134]: 357ms; RSS 464 MiB
Stage schema_pass [100/134]: 26ms; RSS 468 MiB
Stage framework_pass [100/134]: 23ms; RSS 472 MiB
Stage string_literal_pass [100/134]: 17ms; RSS 475 MiB
Stage param_flow_pass [100/134]: 11ms; RSS 475 MiB
Stage route_pass [100/134]: 41ms; RSS 484 MiB
Batch 100/134: 21 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/auth/tsconfig.json in 534ms; RSS 484 MiB
Stage primary_extraction [101/134]: 836ms; RSS 500 MiB
Stage schema_pass [101/134]: 59ms; RSS 512 MiB
Stage framework_pass [101/134]: 109ms; RSS 538 MiB
Stage string_literal_pass [101/134]: 86ms; RSS 556 MiB
Stage param_flow_pass [101/134]: 18ms; RSS 557 MiB
Stage route_pass [101/134]: 191ms; RSS 588 MiB
Batch 101/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/backend/tsconfig.json in 1432ms; RSS 588 MiB
Stage primary_extraction [102/134]: 640ms; RSS 491 MiB
Stage schema_pass [102/134]: 31ms; RSS 491 MiB
Stage framework_pass [102/134]: 36ms; RSS 496 MiB
Stage string_literal_pass [102/134]: 22ms; RSS 500 MiB
Stage param_flow_pass [102/134]: 16ms; RSS 501 MiB
Stage route_pass [102/134]: 39ms; RSS 506 MiB
Batch 102/134: 15 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/backend/tsconfig.json in 850ms; RSS 506 MiB
Stage primary_extraction [103/134]: 333ms; RSS 473 MiB
Stage schema_pass [103/134]: 33ms; RSS 472 MiB
Stage framework_pass [103/134]: 33ms; RSS 477 MiB
Stage string_literal_pass [103/134]: 18ms; RSS 481 MiB
Stage param_flow_pass [103/134]: 5ms; RSS 481 MiB
Stage route_pass [103/134]: 47ms; RSS 490 MiB
Batch 103/134: 19 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/codecamp-knowledge/tsconfig.json in 519ms; RSS 490 MiB
Stage primary_extraction [104/134]: 479ms; RSS 498 MiB
Stage schema_pass [104/134]: 66ms; RSS 506 MiB
Stage framework_pass [104/134]: 7ms; RSS 507 MiB
Stage string_literal_pass [104/134]: 5ms; RSS 508 MiB
Stage param_flow_pass [104/134]: 3ms; RSS 508 MiB
Stage route_pass [104/134]: 116ms; RSS 534 MiB
Batch 104/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/db/tsconfig.json in 792ms; RSS 534 MiB
Stage primary_extraction [105/134]: 393ms; RSS 481 MiB
Stage schema_pass [105/134]: 68ms; RSS 491 MiB
Stage framework_pass [105/134]: 11ms; RSS 493 MiB
Stage string_literal_pass [105/134]: 9ms; RSS 495 MiB
Stage param_flow_pass [105/134]: 6ms; RSS 495 MiB
Stage route_pass [105/134]: 133ms; RSS 521 MiB
Batch 105/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/db/tsconfig.json in 721ms; RSS 521 MiB
Stage primary_extraction [106/134]: 778ms; RSS 506 MiB
Stage schema_pass [106/134]: 79ms; RSS 520 MiB
Stage framework_pass [106/134]: 62ms; RSS 534 MiB
Stage string_literal_pass [106/134]: 50ms; RSS 545 MiB
Stage param_flow_pass [106/134]: 13ms; RSS 546 MiB
Stage route_pass [106/134]: 183ms; RSS 575 MiB
Batch 106/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/db/tsconfig.json in 1304ms; RSS 576 MiB
Stage primary_extraction [107/134]: 650ms; RSS 503 MiB
Stage schema_pass [107/134]: 95ms; RSS 513 MiB
Stage framework_pass [107/134]: 65ms; RSS 525 MiB
Stage string_literal_pass [107/134]: 47ms; RSS 534 MiB
Stage param_flow_pass [107/134]: 5ms; RSS 534 MiB
Stage route_pass [107/134]: 168ms; RSS 564 MiB
Batch 107/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/db/tsconfig.json in 1125ms; RSS 565 MiB
Stage primary_extraction [108/134]: 116ms; RSS 486 MiB
Stage schema_pass [108/134]: 8ms; RSS 486 MiB
Stage framework_pass [108/134]: 6ms; RSS 487 MiB
Stage string_literal_pass [108/134]: 4ms; RSS 488 MiB
Stage param_flow_pass [108/134]: 4ms; RSS 488 MiB
Stage route_pass [108/134]: 9ms; RSS 488 MiB
Batch 108/134: 5 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/db/tsconfig.json in 167ms; RSS 488 MiB
Stage primary_extraction [109/134]: 415ms; RSS 486 MiB
Stage schema_pass [109/134]: 33ms; RSS 490 MiB
Stage framework_pass [109/134]: 33ms; RSS 496 MiB
Stage string_literal_pass [109/134]: 22ms; RSS 502 MiB
Stage param_flow_pass [109/134]: 9ms; RSS 502 MiB
Stage route_pass [109/134]: 62ms; RSS 517 MiB
Batch 109/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-two-source/packages/domain/tsconfig.json in 646ms; RSS 517 MiB
Stage primary_extraction [110/134]: 893ms; RSS 515 MiB
Stage schema_pass [110/134]: 58ms; RSS 527 MiB
Stage framework_pass [110/134]: 105ms; RSS 558 MiB
